Depth (ft),%Na,%Mg,%Al,%Si,%P,%S,%K,%Ca,%Ti,%Mn,%Fe,V ppm,Cr ppm,Co ppm,Ni ppm,Cu ppm,Zn ppm,Ga ppm,As ppm,Pb ppm,Th ppm,Rb ppm,U ppm,Sr ppm,Y ppm,Zr ppm,Nb ppm,Mo ppm,Quartz,Dolomite,Illite,Calcite,Gypsum,Microclin,Albite,Pyrite,Kaolinite
5679.667,0.2037,0.8554,1.1806,4.5671,0.015,0.9888,0.2966,31.901,0.0653,0.0137,1.1295,45,22,5,28,18,22,6,16,12,4,19,0,570,11,29,1,0,,,,,,,,,
5680,0.2131,0,0.3458,2.7806,0,1.5596,0.149,29.8821,0.0289,0.0134,1.1313,45,12,4,8,15,11,4,9,10,3,19,0,269,13,27,3,0,,,,,,,,,
5680.333,0.2747,0.2033,0.4077,2.8859,0,1.0732,0.1606,31.9451,0.0278,0.013,1.1998,42,13,5,23,18,14,6,13,12,3,18,0,307,13,25,2,0,4.3,5.9,3.7,56.5,9.6,4.9,4.4,6.3,4.3
5680.667,0.1423,0.5637,0.2865,2.4988,0,0.7394,0.1284,34.5714,0.0194,0.0135,0.9724,42,14,8,14,16,13,4,10,10,3,11,8,297,13,22,2,0,,,,,,,,,
5681,0.1494,0.5827,1.9456,3.9839,0.3742,0.9784,0.1732,31.005,0.0507,0.0142,0.933,47,25,8,39,34,46,15,20,18,7,25,62,7307,0,0,16,0,,,,,,,,,
5681.333,0.1648,0.7374,0.3806,2.5861,0,0.8887,0.1348,35.2271,0.0238,0.0136,0.8614,44,12,6,18,17,5,5,7,9,3,12,0,286,13,25,0,0,,,,,,,,,
5681.667,0.126,0.8967,0.2013,2.6154,0,1.4297,0.1292,34.236,0.0232,0.0134,1.0643,59,14,7,19,18,16,6,5,9,3,16,0,273,16,26,2,0,2.3,5,3.1,66,8.1,3.2,2.9,6,3.4
5682,0.1895,0.3024,0.4613,2.7807,0,1.5541,0.174,32.4064,0.0296,0.0134,1.0128,42,11,3,23,16,14,3,9,10,3,14,1,300,15,28,1,0,,,,,,,,,
5682.333,0.1843,0.3662,0.4508,3.3901,0,1.4004,0.1879,32.8968,0.0374,0.0136,1.0034,34,17,6,22,15,12,3,9,10,3,21,1,248,17,29,1,2,,,,,,,,,
5682.667,0.1613,0.9434,0.3804,3.0665,0,1.1562,0.1544,32.1779,0.0352,0.0135,1.0732,39,16,6,15,15,18,4,9,11,3,19,0,366,14,28,1,3,,,,,,,,,
5683,0.1737,0.2104,0.3339,2.507,0,0.503,0.152,34.2371,0.0237,0.0133,1.0276,36,9,6,20,20,16,7,5,8,4,16,0,759,3,17,3,0,1.8,5.5,6.6,64.2,5.1,6.3,3.4,3.9,3.3
5683.333,0.1761,0.6745,0.4453,3.0087,0,1.153,0.1863,33.1308,0.0316,0.013,1.2256,40,10,2,29,15,10,4,27,18,3,17,0,319,19,35,2,0,,,,,,,,,
5683.667,0.1802,0.4854,0.5207,3.2018,0,0.9161,0.1825,33.2894,0.0316,0.0139,0.9997,31,22,3,18,17,13,5,22,16,4,22,0,289,15,37,3,0,,,,,,,,,
5684.333,0.2116,0.7557,0.2215,2.5244,0,0.598,0.1531,35.529,0.0146,0.0139,0.9057,45,14,6,20,22,4,2,14,11,3,18,2,272,10,24,0,0,,,,,,,,,
5684.667,0.2725,0.3643,2.0693,7.1225,0,2.2003,0.5859,22.9395,0.1432,0.0136,1.7678,46,28,4,28,17,25,10,33,19,5,53,3,301,21,80,5,4,3,4,3.2,69.2,5.8,3.4,2.4,5.7,3.4
5685,0.1776,1.0737,0.4039,2.663,0,0.7983,0.1642,34.9588,0.0266,0.013,1.1271,46,8,5,17,16,7,4,18,13,3,18,0,240,19,28,2,0,,,,,,,,,
5685.333,0.208,1.4804,0.4501,2.6134,0,1.5164,0.1649,34.1987,0.0381,0.0134,1.1986,53,10,6,21,13,7,5,23,14,3,20,0,214,24,30,2,0,,,,,,,,,
5685.667,0.187,0.156,0.2441,2.5289,0,1.5162,0.1517,32.9727,0.0318,0.0126,1.3471,43,15,5,22,10,16,6,35,19,3,20,6,268,17,28,3,2,,,,,,,,,
5686,0.2956,0,0.0476,2.43,0,1.4323,0.1014,29.3999,0.012,0.012,1.4716,37,0,1,27,18,18,6,26,13,3,18,0,232,20,27,2,0,1.8,4.9,4.2,64.8,6.6,5.7,2.8,4.6,4.4
5686.333,0.1526,0.6155,0.2026,2.396,0,0.6114,0.1559,36.3537,0.0244,0.0135,1.0752,62,12,6,19,20,16,2,10,9,3,19,0,245,24,21,2,0,,,,,,,,,
5686.667,0.1817,0.1092,0.6339,3.2392,0,0.4353,0.2283,34.518,0.0395,0.0135,0.9768,43,17,6,16,15,12,4,10,10,3,22,0,232,19,37,0,0,,,,,,,,,
5687,0.1548,0.8174,0.6588,3.3136,0.0194,0.9768,0.2555,34.0616,0.0467,0.0134,1.1913,43,17,6,20,16,18,5,20,15,4,21,0,232,25,32,2,0,,,,,,,,,
